rowid,poi_name,geography,latitude,longitude,geocoded_name,display_name,place_type,category,parking_facility_name,parking_confidence,parking_source,address,osm_id,error
56,Avana,South_Bay,37.3820886,-122.0137912,,"6, Britton Avenue, Sunnyvale, Santa Clara County, California, 94085, United States",yes,,,none,,"6, Britton Avenue, Sunnyvale, California, 94085",205696062,
57,Intuit Inc. - Building 22,South_Bay,37.4271351,-122.0982164,Intuit,"Intuit, 2601, Garcia Avenue, Mountain View, Santa Clara County, California, 94043, United States",it,,,none,,"2601, Garcia Avenue, Mountain View, California, 94043",1300429006,
58,Stanford University,South_Bay,37.4274982,-122.1702952,Stanford University,"Stanford University, 408, Panama Mall, Stanford, Santa Clara County, California, 94305, United States",university,,,none,,"408, Panama Mall, California, 94305",29268613,
59,Creekside Inn,South_Bay,37.4186749,-122.1374629,Rivian,"Rivian, 607, Hansen Way, Ventura, Palo Alto, Santa Clara County, California, 94304, United States",company,,,none,,"607, Hansen Way, Ventura, Palo Alto, California, 94304",3119949,
60,Microsoft,South_Bay,37.4117734,-122.0713821,Microsoft Company Store,"Microsoft Company Store, La Avenida Street, Mountain View, Santa Clara County, California, 94043, United States",computer,,Microsoft Parking,assumed,business_type,"La Avenida Street, Mountain View, California, 94043",4053675919,
61,"Bldg B, Escondido Village Graduate Residences",South_Bay,37.425573,-122.1572384,"Escondido Village, EVGR Bldg B","Escondido Village, EVGR Bldg B, 735, Campus Drive, Rains Houses, Stanford, Santa Clara County, California, 94305, United States",yes,,,none,,"735, Campus Drive, California, 94305",688574371,
62,Verve Coffee,South_Bay,37.4445775,-122.1633017,Progress,"Progress, 169, University Avenue, Palo Alto, Santa Clara County, California, 94301, United States",retail,,,none,,"169, University Avenue, Palo Alto, California, 94301",132527979,
63,Knight Management Center,South_Bay,37.428569,-122.1621307,Anne T. & Robert M. Bass Center,"Anne T. & Robert M. Bass Center, 645, Knight Way, Stanford, Santa Clara County, California, 94305, United States",university,,Knight Management Center Parking,assumed,business_type,"645, Knight Way, California, 94305",131641541,
64,Larkspur Landing Sunnyvale,South_Bay,37.3944701,-122.0279805,Larkspur Landing Sunnyvale,"Larkspur Landing Sunnyvale, 748, North Mathilda Avenue, Sunnyvale, Santa Clara County, California, 94085, United States",hotel,,Larkspur Landing Sunnyvale Parking,assumed,business_type,"748, North Mathilda Avenue, Sunnyvale, California, 94085",101670488,
65,Bcg,South_Bay,37.390667,-122.081682,,"444, Castro Street, Mountain View, Santa Clara County, California, 94041, United States",house,,,none,,"444, Castro Street, Mountain View, California, 94041",444508224,
66,Stanford Graduate School of Business,South_Bay,37.4292736,-122.1672881,Stanford University,"Stanford University, 408, Panama Mall, Stanford, Santa Clara County, California, 94305, United States",university,,,none,,"408, Panama Mall, California, 94305",29268613,
67,Magnussen's Toyota Palo Alto,South_Bay,37.4150341,-122.1025754,Magnussen's Toyota of Palo Alto,"Magnussen's Toyota of Palo Alto, 690, San Antonio Road, Palo Alto, Santa Clara County, California, 94306, United States",car,,,none,,"690, San Antonio Road, Palo Alto, California, 94306",5561958128,
68,Courtyard San Jose Cupertino,South_Bay,37.3323146,-122.0152136,Courtyard San Jose Cupertino,"Courtyard San Jose Cupertino, 10605, Wolfe Road, Cupertino, Santa Clara County, California, 95014, United States",hotel,,Courtyard San Jose Cupertino Parking,assumed,business_type,"10605, Wolfe Road, Cupertino, California, 95014",5636643,
69,Homewood Suites by Hilton Sunnyvale - Silicon Valley,South_Bay,37.355064,-122.017901,Homewood Suites Sunnyvale,"Homewood Suites Sunnyvale, 830, East El Camino Real, Sunnyvale, Santa Clara County, California, 94087, United States",hotel,,Homewood Suites by Hilton Sunnyvale - Silicon Valley Parking,assumed,business_type,"830, East El Camino Real, Sunnyvale, California, 94087",947541037,
70,Cardinal Hotel,South_Bay,37.4445002,-122.1612828,Cardinal Hotel,"Cardinal Hotel, Hamilton Avenue, University South, Palo Alto, Santa Clara County, California, 94301, United States",hotel,,Cardinal Hotel Parking,assumed,business_type,"Hamilton Avenue, University South, Palo Alto, California, 94301",133234609,
71,Google Gradient Canopy,South_Bay,37.4220413,-122.0794701,Charleston East Building,"Charleston East Building, 2000, North Shoreline Boulevard, Mountain View, Santa Clara County, California, 94043, United States",commercial,,Google Gradient Canopy Parking,assumed,business_type,"2000, North Shoreline Boulevard, Mountain View, California, 94043",741753434,
